IPR	description	ERR977403	ERR977404	ERR977405	ERR977406	ERR977407	ERR977408	ERR977409	ERR977410	ERR977411	ERR977412	ERR977413	ERR977414	ERR977415	ERR977416	ERR977417	ERR977418	ERR977419	ERR977420	ERR977421	ERR977422	ERR977423	ERR977424	ERR977425
IPR000054	Ribosomal protein L31e	0	0	0	0	0	0	1	5	3	0	4	0	1	0	45	42	37	18	12	20	1	5	28
IPR000055	Restriction endonuclease, type I, HsdS	1560	1269	2305	1247	233	251	1053	530	456	458	396	606	575	522	1786	2032	1855	1907	1912	1807	306	573	1004
IPR000056	Ribulose-phosphate 3-epimerase-like	1718	1569	2761	1578	312	371	1788	609	1380	1327	1315	1799	1728	1755	4103	4098	3884	6469	6434	6484	2204	3826	5809
IPR000058	Zinc finger, AN1-type	1	0	2	0	1	0	8	13	2	5	6	15	8	10	39	40	32	19	23	16	8	9	39
IPR000059	NUDIX hydrolase, NudL, conserved site	0	0	0	0	4	2	28	4	2	5	5	10	11	10	12	7	11	13	11	21	10	5	17
IPR000060	BCCT transporter family	0	1	0	0	38	46	153	51	72	57	54	327	280	260	22	15	21	3642	3697	3633	148	420	1760
IPR000061	SWAP/Surp	0	0	0	0	0	1	2	0	2	3	1	0	0	0	1	3	4	8	12	5	2	5	21
IPR000064	Endopeptidase, NLPC/P60 domain	484	594	989	526	245	283	1337	592	752	769	731	1146	1147	1149	1144	1143	1124	4185	4030	3919	1352	2296	4277
IPR000065	Leptin	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000066	Antenna complex, alpha/beta subunit	18	20	24	0	14	9	38	11	56	53	55	40	37	43	6	3	5	68	93	85	42	50	96
IPR000067	Flagellar M-ring protein FliF	556	464	896	500	15	17	112	45	32	29	24	40	37	29	174	180	185	315	304	294	0	0	0
IPR000069	Envelope glycoprotein M, flavivirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IPR000070	Pectinesterase, catalytic	119	65	155	79	16	19	84	34	73	78	73	90	67	71	149	166	153	509	451	470	37	64	108
IPR000071	Immunodeficiency lentiviral matrix, N-terminal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IPR000072	PDGF/VEGF domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IPR000073	Alpha/beta hydrolase fold-1	2828	3041	5629	3320	1542	1768	8701	2206	2525	2389	2362	3798	3638	3512	4993	4975	4701	11317	11078	10748	1107	1967	2898
IPR000077	Ribosomal protein L39e	0	0	0	0	0	0	0	0	0	1	1	1	0	1	18	13	18	4	2	2	2	4	9
IPR000081	Peptidase C3, picornavirus core protein 2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
IPR000082	SEA domain	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IPR000083	Fibronectin, type I	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IPR000084	PE-PGRS family, N-terminal	0	0	0	0	3	3	13	0	0	0	2	2	3	0	1	0	2	5	3	2	1	8	14
IPR000085	Bacterial DNA recombination protein RuvA	23	19	64	45	3	5	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000086	NUDIX hydrolase domain	2284	2452	4547	2832	769	827	4122	1725	1958	1875	1879	2864	2854	2754	4081	3930	3787	8111	7785	7619	1556	2973	5168
IPR000089	Biotin/lipoyl attachment	2276	2280	4111	2341	612	757	3674	985	2395	2511	2306	3629	3323	3345	4803	4981	4752	10499	10613	10341	3672	5776	9087
IPR000090	Flagellar motor switch protein FliG	979	819	1580	845	41	48	195	77	152	157	133	165	149	132	813	795	778	1289	1180	1162	53	72	148
IPR000092	Polyprenyl synthetase	3184	2914	5190	2778	488	567	2875	951	1876	1932	1859	2519	2476	2420	5722	5711	5397	8827	8715	8665	2072	3654	5375
IPR000093	DNA recombination protein RecR	28	25	43	31	4	7	44	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000095	CRIB domain	0	0	0	0	0	1	6	1	3	0	5	6	3	1	7	9	5	12	9	14	13	36	59
IPR000096	Serum amyloid A protein	0	0	0	0	0	2	4	0	1	2	2	3	3	2	31	29	28	32	28	23	2	1	17
IPR000100	Ribonuclease P	343	382	617	367	99	93	429	188	317	287	251	356	344	366	776	665	716	1340	1267	1276	290	430	896
IPR000101	Gamma-glutamyltranspeptidase	2153	3273	5814	3812	870	926	4580	1244	3654	3538	3324	4467	4369	4292	5690	5630	5382	14166	14136	13704	3751	5933	8490
IPR000102	Neuraxin/MAP1B repeat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IPR000103	Pyridine nucleotide-disulphide oxidoreductase, class-II	1790	1504	2644	1491	364	460	2040	783	634	583	545	919	847	769	1937	1961	1840	3524	3519	3237	261	428	964
IPR000104	Antifreeze protein, type I	0	3	0	0	1	2	15	8	3	2	6	6	2	1	4	3	5	11	8	5	1	2	0
IPR000109	Proton-dependent oligopeptide transporter family	333	455	902	642	152	148	572	296	713	666	676	505	480	454	1345	1382	1304	3116	3236	3084	358	520	1157
IPR000110	Ribosomal protein S1	943	899	1696	970	156	203	882	245	169	150	138	299	238	244	774	719	717	1108	1128	1051	34	57	145
IPR000111	Glycoside hydrolase family 27/36, conserved site	0	0	0	0	7	6	37	12	14	13	15	41	30	32	24	19	22	141	132	125	17	38	57
IPR000114	Ribosomal protein L16	655	532	1019	611	139	132	585	265	356	347	295	455	463	421	1194	1162	1127	1722	1688	1587	202	393	750
IPR000116	High mobility group protein HMGA	0	0	0	0	1	1	1	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1
IPR000118	Granulin	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	3	2	1
IPR000119	Histone-like DNA-binding protein	2709	2266	4461	2665	274	272	1324	521	1042	1010	1071	1267	1218	1245	4635	4683	4530	7609	7553	7398	1305	1714	4466
IPR000121	PEP-utilising enzyme, C-terminal	3433	3533	6069	3494	724	776	3501	1078	2500	2501	2365	4066	3970	3970	6840	6994	6813	13159	12815	12868	3486	6408	9231
IPR000123	RNA-directed DNA polymerase (reverse transcriptase), msDNA	0	0	0	0	38	33	163	78	110	78	99	89	82	87	149	182	122	354	353	271	46	97	110
IPR000125	Glycoside hydrolase, family 14A, bacterial	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
IPR000126	Serine proteases, V8 family, serine active site	0	0	0	0	22	33	154	28	13	9	10	20	20	20	17	12	14	14	15	14	39	85	99
IPR000131	ATPase, F1 complex, gamma subunit	2765	2320	4194	2386	385	468	2095	853	1255	1162	1164	1772	1763	1661	4191	4123	4232	6593	6669	6283	1697	2974	5287
IPR000132	Nitrilase/cyanide hydratase, conserved site	145	200	344	219	30	35	157	36	54	63	50	80	72	82	172	179	153	390	385	385	90	127	245
IPR000133	ER lumen protein retaining receptor	0	0	0	0	0	0	2	2	0	3	3	0	1	2	3	4	3	5	15	10	1	13	29
IPR000138	Hydroxymethylglutaryl-CoA lyase, active site	0	0	0	0	5	3	24	8	23	27	24	27	24	30	12	20	14	128	120	114	17	24	76
IPR000148	Papillomavirus E7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000150	Cof protein	169	120	235	127	10	14	54	33	20	35	28	51	50	38	124	127	118	247	253	249	48	76	191
IPR000152	EGF-type aspartate/asparagine hydroxylation site	0	0	0	0	15	7	42	20	62	53	62	13	17	24	42	43	40	44	65	59	13	78	25
IPR000156	Ran binding domain	0	0	0	0	0	0	1	3	1	0	1	0	0	1	1	0	1	7	3	3	2	13	19
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain	527	373	653	319	254	237	1166	405	956	861	860	1291	1266	1148	2241	2188	2096	1508	1362	1389	270	556	474
IPR000159	Ras-associating (RA) domain	0	0	0	0	0	0	0	6	0	1	0	1	0	0	1	1	2	2	0	1	0	0	2
IPR000160	GGDEF domain	8576	10343	19131	12042	1839	2141	10193	2468	6394	6226	6357	6356	6147	5988	20257	20407	20042	61414	61379	60322	6407	8987	21720
IPR000162	GPCR, family 3, metabotropic glutamate receptor	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000163	Prohibitin	0	0	0	0	5	8	18	19	23	30	22	15	13	14	56	47	51	46	31	30	1	5	19
IPR000164	Histone H3/CENP-A	1	0	1	0	1	0	2	23	4	1	4	4	7	3	24	22	15	56	42	53	6	30	135
IPR000165	Glucoamylase	0	0	0	0	1	0	10	1	1	2	0	2	6	3	9	5	3	9	4	7	1	9	6
IPR000169	Cysteine peptidase, cysteine active site	1	2	3	0	9	11	50	33	62	35	49	25	34	28	104	104	93	101	117	117	40	78	236
IPR000170	High potential iron-sulphur protein	0	0	0	0	10	12	87	26	74	89	89	73	72	78	63	69	60	231	231	266	64	67	215
IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	496	669	1259	854	534	556	2712	674	1635	1534	1602	2601	2437	2486	2191	2153	2133	8038	8197	7950	1587	1993	3897
IPR000175	Sodium:neurotransmitter symporter	230	403	697	524	39	44	158	103	134	135	113	129	147	128	184	182	179	345	312	305	153	233	507
IPR000176	mRNA methyltransferase-like	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
IPR000178	Translation initiation factor aIF-2, bacterial-like	354	318	575	349	45	68	309	71	114	110	126	124	99	89	514	467	468	712	672	680	109	144	299
IPR000180	Membrane dipeptidase, active site	0	0	0	0	5	5	17	4	10	10	9	19	12	22	29	35	23	23	22	18	11	13	17
IPR000182	GNAT domain	3125	3145	5420	3211	1957	2237	10671	3446	5652	5357	5389	8782	8221	8203	8975	8481	8548	20068	19598	19138	3285	6959	8588
IPR000183	Ornithine/DAP/Arg decarboxylase	480	489	868	634	44	48	219	59	85	90	85	144	135	153	346	417	363	534	556	550	58	64	103
IPR000184	Bacterial surface antigen (D15)	1860	1830	3497	1985	328	308	1441	468	846	794	810	972	904	857	2844	2681	2594	6071	5933	5771	431	519	1490
IPR000185	Protein translocase subunit SecA	1021	824	1653	1041	172	237	1046	465	413	360	344	607	537	511	1384	1456	1365	1864	1846	1786	229	398	759
IPR000187	Corticotropin-releasing factor	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR000189	Prokaryotic transglycosylase, active site	441	424	745	508	61	74	287	83	125	113	118	134	136	135	892	913	923	997	1001	975	47	47	151
IPR000192	Aminotransferase class V domain	5069	4942	9129	5460	1600	1763	8350	2846	4603	4353	4322	6702	6557	6301	11484	11612	11142	16803	16342	15909	4759	8894	13139
IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	8662	7082	13392	7274	889	963	4740	1869	3699	3752	3807	4914	4783	4557	13179	13163	12797	19053	19205	19134	4805	8167	15217
IPR000195	Rab-GTPase-TBC domain	0	0	0	0	2	1	5	13	14	12	15	3	5	0	28	23	29	46	50	44	11	53	140
IPR000196	Ribosomal protein L19/L19e domain	0	0	0	0	2	0	0	8	3	6	1	2	2	3	73	61	58	44	44	37	2	8	62
IPR000197	Zinc finger, TAZ-type	0	0	0	0	0	0	1	3	1	0	0	0	0	1	2	0	0	12	19	14	0	1	4
IPR000198	Rho GTPase-activating protein domain	0	0	0	0	8	1	8	20	12	23	12	9	6	7	68	58	57	26	28	23	14	96	165
IPR000199	Peptidase C3A/C3B, picornaviral	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	7	4	7	0	0	1
IPR000200	Peptidase C10, streptopain	0	0	0	0	8	11	38	12	19	15	12	8	6	5	17	18	8	44	30	40	22	25	62
IPR000203	GPS motif	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	6	1	0	0	1	0	4	5
IPR000206	Ribosomal protein L7/L12	321	286	575	418	50	67	303	107	18	17	14	23	32	22	93	86	82	94	103	92	0	0	0
IPR000208	RNA-directed RNA polymerase, flavivirus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2
IPR000209	Peptidase S8/S53 domain	1650	1594	2871	1503	1890	2024	9626	3491	5701	5476	5229	9331	9086	9193	12062	11643	11529	16064	16037	15702	7256	15943	18229
IPR000210	BTB/POZ domain	0	0	0	0	0	0	3	16	0	4	0	3	0	1	16	9	16	55	37	47	2	17	58
IPR000217	Tubulin	0	0	0	0	4	1	2	8	3	8	7	3	2	7	24	14	22	66	48	49	8	25	101
IPR000218	Ribosomal protein L14P	878	677	1404	885	198	210	984	416	803	859	872	1166	1071	1083	2721	2797	2607	3984	4065	3906	1561	2556	5706
IPR000219	Dbl homology (DH) domain	0	0	0	0	2	4	13	24	25	19	16	6	4	2	79	59	59	33	33	27	21	89	135
IPR000222	PPM-type phosphatase, divalent cation binding	0	0	0	0	0	1	7	7	3	7	2	5	1	1	16	14	20	27	30	30	3	26	74
IPR000223	Peptidase S26A, signal peptidase I	992	847	1469	702	163	183	866	358	196	186	205	358	328	302	951	991	916	1315	1238	1218	62	55	159
IPR000225	Armadillo	0	1	0	1	5	1	10	15	31	18	24	13	34	31	91	92	72	150	135	117	31	121	225
IPR000232	Heat shock factor (HSF)-type, DNA-binding	0	0	0	0	0	0	0	2	1	0	1	1	1	1	1	1	0	24	12	11	1	5	52
IPR000233	Cadherin, cytoplasmic domain	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
IPR000234	Herpesvirus Glycoprotein B	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPR000236	Transactivation protein X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
IPR000237	GRIP domain	0	0	0	0	0	0	0	1	0	0	1	1	1	0	4	3	4	31	29	34	1	7	13
IPR000238	Ribosome-binding factor A	836	668	1245	696	109	144	729	200	382	441	408	641	639	584	1410	1422	1323	2195	2195	2263	223	324	648
IPR000241	Putative RNA methylase domain	378	544	884	618	141	143	733	266	368	336	322	522	520	487	1544	1417	1448	2285	2286	2207	458	927	1435
IPR000242	PTP type protein phosphatase	9	5	13	0	4	3	12	13	9	11	7	16	11	14	64	72	56	30	40	16	14	72	68
IPR000243	Peptidase T1A, proteasome beta-subunit	0	0	1	0	0	0	0	1	0	0	0	0	0	0	6	3	6	7	3	5	0	0	4
IPR000245	V-ATPase proteolipid subunit	0	0	0	0	2	1	12	7	7	4	9	4	1	1	6	2	6	12	8	9	0	0	5
IPR000246	Peptidase T2, asparaginase 2	1415	1325	2321	1346	203	197	874	325	925	909	895	989	1095	952	2745	2804	2756	3401	3299	3279	1280	2229	2709
IPR000249	Microcompartment protein, bacteria	259	287	656	435	58	61	284	88	317	309	265	498	433	474	418	402	406	305	250	286	314	596	631
IPR000250	Peptidase G1	0	0	0	0	0	0	3	2	1	0	0	0	1	1	1	3	1	1	1	0	0	1	3
IPR000253	Forkhead-associated (FHA) domain	361	455	856	668	858	976	4567	1417	3611	3566	3509	4965	4735	4614	6057	5999	5877	5451	5393	5238	5059	11706	10929
IPR000254	Cellulose-binding domain, fungal	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	1	2	1	2
IPR000257	Uroporphyrinogen decarboxylase (URO-D)	2364	2344	4235	2445	343	388	1975	603	1249	1208	1216	1745	1678	1654	4817	4960	4966	8457	8354	8522	1543	2317	4486
IPR000258	Bacterial ice-nucleation, octamer repeat	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	155	187	217	0	1	54
IPR000259	Fimbrial-type adhesion domain	1	2	0	1	0	1	3	5	0	3	0	0	2	3	1	0	1	1043	1039	990	1	11	231
IPR000260	NADH:ubiquinone oxidoreductase chain 4, N-terminal	262	257	431	273	39	56	292	77	90	101	95	192	204	181	538	565	471	382	396	347	73	133	168
IPR000261	EH domain	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	2	4	8	7	4	0	5	8
IPR000262	FMN-dependent dehydrogenase	55	79	113	0	356	424	1980	490	1289	1175	1256	2041	2057	1924	1904	2018	2034	5678	5452	5524	1851	3668	5127
IPR000266	Ribosomal protein S17/S11	545	431	859	601	119	108	668	286	506	500	495	735	687	609	1573	1535	1573	2337	2429	2386	858	1455	3013
IPR000268	DNA-directed RNA polymerase, subunit N/Rpb10	0	0	0	0	0	0	2	15	3	3	2	2	0	2	40	42	41	23	23	29	3	17	53
IPR000269	Copper amine oxidase	0	0	0	0	11	20	80	14	12	8	15	37	40	35	22	20	23	98	90	94	28	46	88
IPR000270	PB1 domain	0	0	0	0	1	0	2	0	1	0	1	0	0	1	3	5	3	7	5	8	1	2	6
IPR000271	Ribosomal protein L34	106	159	230	187	75	86	331	149	290	251	265	342	317	349	630	657	640	1091	1099	1064	355	752	1265
IPR000272	Ion-transport regulator, FXYD motif	0	0	1	0	0	1	1	0	5	3	1	1	1	1	1	0	2	14	17	7	0	6	5
IPR000274	Adenylate cyclase, class-I	0	0	0	0	5	0	16	6	20	18	17	4	5	3	67	74	63	963	944	980	25	25	398
IPR000276	G protein-coupled receptor, rhodopsin-like	0	0	0	0	2	3	5	13	3	5	5	1	0	1	1	2	1	9	8	8	8	45	70
IPR000277	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	2259	3424	6063	3936	1328	1478	7154	2152	6613	6476	6383	8946	9028	8819	9560	9564	9480	23335	22810	22530	9055	15693	22438
IPR000280	Pestivirus NS3, peptidase S31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IPR000281	Helix-turn-helix protein RpiR	9	12	21	0	45	41	164	51	137	176	143	325	294	260	171	171	150	1873	1842	1795	134	160	567
IPR000283	NADH:ubiquinone oxidoreductase, 75kDa subunit, conserved site	1159	1084	1968	1114	181	212	1020	299	519	448	459	838	845	770	1669	1801	1703	2700	2637	2508	686	1274	1722
IPR000286	Histone deacetylase superfamily	412	444	852	498	49	65	343	97	60	62	61	123	96	104	201	165	186	351	345	323	0	1	4
IPR000289	Ribosomal protein S28e	0	0	0	0	2	0	0	2	4	0	3	1	0	0	41	47	56	22	23	24	2	11	46
IPR000290	Colicin immunity protein/pyocin immunity protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	69	46	0	0	0
IPR000291	D-alanine--D-alanine ligase/VANA/B/C, conserved site	729	725	1358	805	135	181	790	294	403	377	359	513	489	477	1170	1168	1064	1726	1651	1666	315	585	989
IPR000292	Formate/nitrite transporter	280	375	700	549	98	124	540	166	246	256	233	491	432	414	1703	1607	1585	1572	1625	1546	297	595	592
IPR000293	Channel forming colicin, C-terminal cytotoxic	1	0	0	0	0	0	3	2	2	3	0	3	1	3	4	1	4	36	43	61	2	5	11
IPR000294	Gamma-carboxyglutamic acid-rich (GLA) domain	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	1	0
IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	1539	1473	2643	1513	160	198	854	276	746	674	671	735	703	666	2102	2194	2110	4281	4231	4033	521	610	1413
IPR000298	Cytochrome c oxidase subunit III domain	371	379	822	511	160	208	909	286	494	454	507	745	792	765	1239	1169	1209	3051	2965	2918	489	790	1636
IPR000301	Tetraspanin	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
IPR000304	Pyrroline-5-carboxylate reductase	322	320	573	337	36	44	169	54	47	46	27	75	84	78	191	200	199	318	368	346	39	85	120
IPR000305	GIY-YIG nuclease superfamily	578	509	857	520	260	271	1205	1086	835	793	745	720	718	678	2223	2251	2118	3124	3060	2974	634	982	2764
IPR000306	FYVE zinc finger	0	0	0	0	0	0	0	2	3	3	0	5	12	13	9	1	7	18	29	23	2	6	22
IPR000307	Ribosomal protein S16	610	521	978	562	113	134	621	274	450	419	401	585	546	578	1098	1115	1052	1819	1790	1871	704	1276	2274
IPR000308	14-3-3 protein	0	0	0	0	0	0	3	1	2	0	2	0	0	0	3	7	4	2	1	3	0	0	4
IPR000310	Orn/Lys/Arg decarboxylase, major domain	443	680	1174	827	94	78	467	146	557	508	502	697	673	704	861	821	754	5574	5556	5543	480	528	2299
IPR000312	Glycosyl transferase, family 3	3923	3359	5850	3057	537	605	3030	870	2330	2330	2394	3667	3673	3664	7525	7441	7317	11073	10828	10967	3810	7304	9844
IPR000313	PWWP domain	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	8	4	2	1	2	12
IPR000315	B-box-type zinc finger	0	0	0	0	8	8	54	18	36	33	29	51	59	62	55	65	50	35	49	46	51	112	126
IPR000318	Nitrogenase component 1, conserved site	4	5	7	2	20	11	55	19	53	55	51	58	69	45	117	133	139	287	330	295	46	64	193
IPR000319	Aspartate-semialdehyde dehydrogenase, conserved site	90	132	241	149	31	39	226	40	39	58	39	53	89	77	164	151	149	483	496	465	94	165	304
IPR000320	Hedgehog, N-terminal signalling domain	0	0	0	0	0	0	2	0	1	1	2	1	4	2	8	6	8	2	1	5	2	3	2
IPR000322	Glycoside hydrolase family 31	20	28	45	0	172	183	775	285	722	635	665	919	929	888	696	678	688	3021	3076	2841	461	741	1045
IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal	0	0	0	0	35	38	133	65	81	97	87	77	53	70	115	82	111	31	31	26	24	62	55
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase	1807	1683	2879	1513	453	516	2305	729	1233	1188	1190	1584	1544	1447	3337	3355	3374	5188	5179	5124	1266	2236	3828
IPR000327	POU-specific domain	0	0	0	0	1	0	2	5	0	0	3	1	0	2	15	8	12	13	5	6	5	9	17
IPR000330	SNF2-related, N-terminal domain	2237	1756	3299	2009	378	384	1918	882	798	769	755	874	832	824	2683	2571	2507	3782	3588	3480	429	920	1540
IPR000331	Rap GTPase activating protein domain	0	0	0	0	0	0	4	4	2	8	4	0	2	1	9	12	13	6	6	5	11	29	35
IPR000334	Glycoside hydrolase, family 45	1	0	0	0	0	0	1	0	1	6	3	1	1	3	2	0	2	9	4	3	4	6	8
IPR000335	Bleomycin resistance protein	0	0	0	0	2	3	17	5	0	3	2	6	10	5	5	5	1	14	14	10	0	0	2
IPR000336	Flavivirus/Alphavirus glycoprotein, immunoglobulin-like domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	1
IPR000337	GPCR, family 3	0	0	0	0	0	0	8	1	0	0	0	1	0	0	0	0	0	0	2	0	1	2	1
IPR000340	Dual specificity phosphatase, catalytic domain	389	284	566	233	47	40	203	132	115	113	107	210	196	198	451	451	482	338	310	310	127	423	511
IPR000341	Phosphatidylinositol 3-kinase Ras-binding (PI3K RBD) domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	1	4
IPR000343	Tetrapyrrole biosynthesis, glutamyl-tRNA reductase	7	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
